                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4456,                 3.3797,                 1.5142,                0.00366,                0.91892,                0.24676,                0.17676,                0.84545,                 3.5301,                 1.2467,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.3191,                 2.3623,                 1.2988,                0.83584,                0.10811,                 0.5931,                 0.2845,                 1.1484,                 3.3112,                 1.4086,               0.059455,              0.0044554,              0.0044554
                      2,                 1.2259,                 1.4708,                 1.1806,                 0.8523,                0.51351,                0.64282,                0.33893,                 1.5384,                 2.7449,                 1.5423,               0.038665,              0.0066654,              0.0066654
                      3,                 1.2655,                    1.3,                 1.2223,                0.62362,                0.51351,                0.62132,                0.34291,                 1.4859,                 2.4383,                 1.5192,                0.01783,              0.0088297,              0.0088297
                      4,                 1.2083,                  1.243,                 1.2251,                0.70714,                0.48649,                0.58533,                0.29594,                 1.6092,                 2.3772,                 1.5843,               0.009604,               0.009604,               0.009604
                      5,                 1.2487,                 1.1998,                 1.2211,                 0.6596,                0.45946,                0.59551,                0.27794,                  1.799,                 2.4891,                 1.8196,               0.009604,               0.009604,               0.009604
                      6,                 1.1632,                 1.1067,                 1.1652,                0.83834,                0.51351,                0.68906,                0.32232,                 1.8001,                 2.2504,                 1.7224,               0.009505,               0.009505,               0.009505
                      7,                 1.1141,                 1.0343,                 1.1761,                0.80565,                0.33655,                0.52195,                 0.2784,                 1.7678,                 2.5232,                  1.681,               0.009406,               0.009406,               0.009406
                      8,                 1.1032,                0.97956,                 1.1501,                0.81805,                0.78378,                0.77911,                0.43245,                 1.5329,                 1.6482,                 1.4877,               0.009307,               0.009307,               0.009307
                      9,                 1.0897,                0.97467,                 1.1551,                0.59192,                0.62162,                0.57217,                0.28969,                 1.7825,                 1.9288,                 1.6764,               0.009208,               0.009208,               0.009208
                     10,                 1.0184,                0.89915,                 1.1228,                0.86554,                0.72973,                0.82782,                0.49384,                 1.5145,                 1.4833,                 1.5301,               0.009109,               0.009109,               0.009109
                     11,                 1.0661,                0.86758,                 1.1386,                0.82651,                0.77271,                0.80234,                0.44673,                 1.5057,                 1.3566,                 1.4604,                0.00901,                0.00901,                0.00901
                     12,                 1.0101,                0.81825,                 1.1308,                0.74625,                 0.2973,                0.40263,                 0.2142,                 1.9766,                 2.6485,                 1.9407,               0.008911,               0.008911,               0.008911
                     13,                 1.0255,                0.82488,                 1.1396,                 0.8036,                0.51351,                0.57866,                0.31508,                 1.6865,                 1.7786,                 1.6471,               0.008812,               0.008812,               0.008812
                     14,                 1.0319,                0.81249,                 1.1222,                0.81564,                0.71764,                0.78131,                0.50752,                 1.3567,                 1.2848,                 1.3762,               0.008713,               0.008713,               0.008713
                     15,                0.97939,                 0.7499,                  1.094,                0.90283,                0.67568,                0.83485,                 0.4898,                 1.3213,                 1.2381,                 1.3966,               0.008614,               0.008614,               0.008614
                     16,                   0.96,                0.75401,                 1.0865,                0.88697,                0.62162,                0.71712,                0.38421,                 1.5272,                 1.6565,                 1.6475,               0.008515,               0.008515,               0.008515
